"Agency ID"," Description"
"US-ACE","Army Corps of Engineers"
"US-DOE","Department of Energy"
"US-DOC","Department of Commerce"
"US-DOTr","Department of the Treasury"
"US-DHS","Department of Homeland Security"
"US-DOS","Department of State"
"US-DOI","Department of the Interior"
"US-DOJ","Department of Justice"
"US-DOD","Department of Defense"
"US-EPA","Environmental Protection Agency"
"US-DHHS","Department of Health and Human Services"
"US-NSF","National Science Foundation"
"US-DOT","Department of Transportation"
"US-FMC","Federal Maritime Commission"
"US-MMC","Marine Mammal Commission"
"WA-BCC","Building Code Council"
"WA-BPC","Board of Pilotage Commissioners"
"WA-CC","Centennial Commission"
"WA-CNTY","County"
"WA-CTED","Department of Community, Trade, and Economic Development"
"WA-DFW","Department of Fish and Wildlife"
"WA-DNR","Department of Natural Resources"
"WA-DO Ecol","Department of Ecology"
"WA-DOH","Department of Health"
"WA-DOL","Department of Licensing"
"WA-DOLI","Department of Labor and Industries"
"WA-DOR","Department of Revenue"
"WA-DOT","Department of Transportation"
"WA-EHB","Environmental Hearings Board"
"WA-EHO","Environmental and Land Use Hearings Board"
"WA-Fishing","Fishing associations"
"WA-ICOR","Interagency Committee for Outdoor Recreation"
"WA-OceanComm","Oceanographic Commission"
"WA-OIC","Office of the Insurance Commissioner"
"WA-PRC","Parks and Recreation Commission"
"WA-HCCC","Hood Canal Coordinating Council"
"WA-PSAT","Puget Sound Action Team"
"WA-PUGSCouncil","Puget Sound Council"
"WA-State","State of Washington"
"WA-UTC","Utilities and Transportation Commission"
"WA-UW","University of Washington"
"WA-WCRAB","County Road Administration Board"
"WA-WDOA","Department of Agriculture"
"WA-RTPO","Regional Transportation Planning Organization"
"WA-WMD","Washington Military Department"
"WA-WO BNDRY","Washington-Oregon boundary commission."
"WA-WSU","Washington State University"
"CA-DTSC","Department of Toxic Substances Control"
"CA-DCA","Department of Consumer Affairs"
"CA-ARB","Air Quality Districts"
"CA-BAWSCA","Bay Area Water Supply and Conservation Agency"
"CA-BOEqual","Board of Equalization"
"CA-BTH","Department of Business, Transportation, and Housing"
"CA-CAgC","County Agricultural Commission"
"CA-Cal Fire","Department of Forestry and Fire Protection"
"CA-CalEPA","California Environmental Protection Agency"
"CA-LMITSAC","California Marine and Intermodal Transportation System Advisory Council"
"CA-CalTrans","Department of Transportation"
"CA-CBDA","Bay-Delta Authority"
"CA-Cconservancy","California Coastal Conservancy"
"CA-CDFA","California Dept of Food and Agriculture"
"CA-CDI","Department of Insurance"
"CA-CDOJ","California Dept of Justice"
"CA-CEC","Energy Commission"
"CA-CEQA","Council for Environmental Quality Act (not an agency)"
"CA-CHP","California Highway Patrol"
"CA-CITY","City"
"CA-CIWMB","Cal Integrated Waste Management Board"
"CA-CNTY","County"
"CA-CoastalComm","California Coastal Commission"
"CA-CommColl","Community Colleges"
"CA-COPC","California Ocean Protection Council"
"CA-CRA","California Resource Agency"
"CA-CSC","California Seafood Council"
"CA-CSG","California Sea Grant"
"CA-CSLB","Contractors State License Board"
"CA-CSTr","Cal State Treasury"
"CA-CSU","Cal State University"
"CA-DBW","Department of Boating and Waterways"
